playlist_genre,track_count,avg_popularity
edm,6043,34.83352639417508
latin,5155,47.026576139670226
pop,5507,47.74487016524424
r&b,5431,41.22353157797827
rap,5746,43.21545422902889
rock,4951,41.72833770955363
