year,avg_tempo,avg_energy
1957.0,148.808,0.962
1958.0,167.396,0.582
1961.0,151.223,0.036
1963.0,148.7265,0.51275
1964.0,133.33025,0.79325
1965.0,115.97999999999999,0.6839000000000001
1966.0,129.28064285714285,0.6999285714285713
1967.0,113.43476666666668,0.5848
1968.0,125.9403125,0.6580625
1969.0,119.52352083333334,0.6516666666666667
1970.0,129.56525757575758,0.6353348484848484
1971.0,120.45713559322034,0.658864406779661
1972.0,126.10543902439025,0.5898780487804878
1973.0,122.87179729729728,0.6135945945945945
1974.0,119.84946153846155,0.6421346153846154
1975.0,121.22850746268658,0.5891194029850747
1976.0,128.00883333333334,0.6126666666666667
1977.0,126.54057971014491,0.6804420289855072
1978.0,123.91465168539327,0.7208651685393258
1979.0,124.39059649122807,0.6831228070175439
1980.0,123.37587671232878,0.6916164383561644
1981.0,124.91119565217392,0.7193260869565217
1982.0,123.3084923076923,0.6645846153846154
1983.0,124.97347560975611,0.7465487804878048
1984.0,126.36180769230769,0.735625
1985.0,120.19136,0.63185
1986.0,119.7111511627907,0.685639534883721
1987.0,122.86995652173913,0.742304347826087
1988.0,115.90369938650306,0.6745398773006135
1989.0,120.88190721649485,0.6751546391752576
1990.0,118.48708888888889,0.6765777777777777
1991.0,118.18947239263802,0.6941079754601227
1992.0,118.09631515151516,0.6764048484848485
1993.0,114.4741388888889,0.6381666666666667
1994.0,114.22545161290323,0.640960752688172
1995.0,111.59891279069767,0.6334825581395349
1996.0,110.13139705882354,0.6391357843137255
1997.0,116.3973486238532,0.6379206422018349
1998.0,114.55421363636364,0.6824045454545454
1999.0,115.7112627118644,0.7012245762711865
2000.0,117.40620487804878,0.6741951219512196
2001.0,117.09945136186771,0.7153696498054475
2002.0,115.59833771929824,0.6807100877192982
2003.0,112.84245514950166,0.7069568106312293
2004.0,117.0246524390244,0.6954551829268293
2005.0,122.35076869158878,0.7141355140186916
2006.0,118.8298740359897,0.7118714652956298
2007.0,117.7859787735849,0.7235919811320755
2008.0,124.922078125,0.7160928819444444
2009.0,120.69251282051283,0.7475193473193472
2010.0,122.02513286713287,0.7430891608391609
2011.0,121.68451254480287,0.7262117204301075
2012.0,120.6750854816825,0.7311457259158752
2013.0,123.33537459283389,0.7487619978284473
2014.0,123.67328837209303,0.760150830564784
2015.0,120.66545144804088,0.714614707552527
2016.0,120.1010610217597,0.6960624881740776
2017.0,120.35047897774113,0.682697104286892
2018.0,120.1357252415459,0.674789945652174
2019.0,122.25359566031501,0.6966920035246172
2020.0,122.62225222929935,0.6703341401273886
